display_name,status,phase,trade_name,fda_year,review_class,cn_class,review_moa,atc_class_who,atc_code,cf_parent,cf_subclass,cf_class,cf_superclass,target_name,target_organism,target_uniprot,target_chembl_id,chembl_moa,action_type,resistance_mechanism,resistance_source,modality,status_proxy,drug_warning,indications,alogp,psa,hbd,hba,ro5_violations,chemical_formula,weight_average,monoisotopic_mass,exact_mass,smiles_isomeric,smiles_canonical,inchikey,inchi,drugbank_id,chembl_id,pubchem_cid,iupac_name,notes
Chloroquine,Approved,—,Aralen,1949,4-Aminoquinoline,喹啉类,结合hematin、阻断hemozoin形成，游离血红素堆积致虫体死亡,Aminoquinolines (P01BA),P01BA01,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,approved,,malaria (max phase 4); glioblastoma multiforme (max phase 3); Plasmodium vivax malaria (max phase 3); Plasmodium falciparum malaria (max phase 3); rheumatoid arthritis (max phase 3); pregnancy (max phase 3),4.81,28.16,1,3,0,C18H26ClN3,319.9,319.1815,319.1815,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,WHTVZRBIWZFKQO-UHFFFAOYSA-N,"InChI=1S/C18H26ClN3/c1-4-22(5-2)12-6-7-14(3)21-17-10-11-20-18-13-15(19)8-9-16(17)18/h8-11,13-14H,4-7,12H2,1-3H3,(H,20,21)",DB00608,CHEMBL76,2719,"4-N-(7-chloroquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine",ClassyFire: 未命中; 
Primaquine,Approved,—,Primaquine phosphate,1952,8-Aminoquinoline,喹啉类,清除肝期休眠体与配子体；代谢物干扰线粒体电子传递,Aminoquinolines (P01BA),P01BA03,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,approved,,malaria (max phase 4); Plasmodium falciparum malaria (max phase 3); Plasmodium vivax malaria (max phase 3); pneumocystosis (max phase 3); COVID-19 (max phase 2); obesity (max phase 1),2.78,60.17,2,4,0,C15H21N3O,259.35,259.1685,259.1685,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,INDBQLZJXZLFIT-UHFFFAOYSA-N,"InChI=1S/C15H21N3O/c1-11(5-3-7-16)18-14-10-13(19-2)9-12-6-4-8-17-15(12)14/h4,6,8-11,18H,3,5,7,16H2,1-2H3",DB01087,CHEMBL506,4908,"4-N-(6-methoxyquinolin-8-yl)pentane-1,4-diamine",ClassyFire: 未命中; 
Hydroxychloroquine,Approved,—,Plaquenil,1955,4-Aminoquinoline,喹啉类,同氯喹，抑制hemozoin形成,Aminoquinolines (P01BA),P01BA02,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,approved,,malaria (max phase 4); pulmonary sarcoidosis (max phase 3); rheumatoid arthritis (max phase 3); Sjogren syndrome (max phase 3); chronic lymphocytic leukemia (max phase 2); hepatocellular carcinoma (max phase 2),3.78,48.39,2,4,0,C18H26ClN3O,335.9,335.1764,335.1764,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,"InChI=1S/C18H26ClN3O/c1-3-22(11-12-23)10-4-5-14(2)21-17-8-9-20-18-13-15(19)6-7-16(17)18/h6-9,13-14,23H,3-5,10-12H2,1-2H3,(H,20,21)",DB01611,CHEMBL1535,3652,2-[4-[(7-chloroquinolin-4-yl)amino]pentyl-ethylamino]ethanol,ClassyFire: 未命中; 
Sulfadoxine,Approved,—,Fansidar (复方),1983,Sulfonamide,抗叶酸类,抑制DHPS，阻断叶酸从头合成上游,无 (未上市/无 ATC),无,无 (ClassyFire 未收录或超时),,,,Dihydropteroate synthetase,Plasmodium falciparum,Q25704,CHEMBL2013,Dihydropteroate synthetase inhibitor,INHIBITOR,,,Small molecule,approved,,malaria (max phase 3); pregnancy (max phase 3); anemia (phenotype) (max phase 3); Plasmodium falciparum malaria (max phase 3); Plasmodium vivax malaria (max phase 3); HIV infection (max phase 3),0.88,116.43,2,7,0,C12H14N4O4S,310.33,310.0736,310.0736,COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N,COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N,PJSFRIWCGOHTNF-UHFFFAOYSA-N,"InChI=1S/C12H14N4O4S/c1-19-10-11(14-7-15-12(10)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)",DB01299,CHEMBL1539,17134,"4-amino-N-(5,6-dimethoxypyrimidin-4-yl)benzenesulfonamide",ClassyFire: 未命中; 
Pyrimethamine,Approved,—,Fansidar (复方),1983,Diaminopyrimidine,抗叶酸类,抑制DHFR，阻断四氢叶酸生成,Diaminopyrimidines (P01BD),P01BD01; P01BD51,无 (ClassyFire 未收录或超时),,,,Bifunctional dihydrofolate reductase-thymidylate synthase,Plasmodium falciparum K1,P13922,CHEMBL1939,Dihydrofolate reductase inhibitor,INHIBITOR,,,Small molecule,approved,,malaria (max phase 4); toxoplasmosis (max phase 4); pregnancy (max phase 3); anemia (phenotype) (max phase 3); congenital toxoplasmosis (max phase 3); Plasmodium falciparum malaria (max phase 3),2.52,77.82,2,4,0,C12H13ClN4,248.71,248.0829,248.0829,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,WKSAUQYGYAYLPV-UHFFFAOYSA-N,"InChI=1S/C12H13ClN4/c1-2-9-10(11(14)17-12(15)16-9)7-3-5-8(13)6-4-7/h3-6H,2H2,1H3,(H4,14,15,16,17)",DB00205,CHEMBL36,4993,"5-(4-chlorophenyl)-6-ethylpyrimidine-2,4-diamine",ClassyFire: 未命中; 
Mefloquine,Approved,—,Lariam,1989,Methanolquinoline,喹啉类,推测抑制hemozoin形成/干扰膜结构,Methanolquinolines (P01BC),P01BC02,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,approved,,malaria (max phase 4); Plasmodium falciparum malaria (max phase 3); urinary schistosomiasis (max phase 3); viral pneumonia (max phase 2); respiratory failure (max phase 2); COVID-19 (max phase 2),4.45,45.15,2,3,0,C17H16F6N2O,378.31,378.1167,378.1167,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,XEEQGYMUWCZPDN-UHFFFAOYSA-N,"InChI=1S/C17H16F6N2O/c18-16(19,20)11-5-3-4-9-10(15(26)12-6-1-2-7-24-12)8-13(17(21,22)23)25-14(9)11/h3-5,8,12,15,24,26H,1-2,6-7H2",DB00358,CHEMBL416956,4046,"[2,8-bis(trifluoromethyl)quinolin-4-yl]-piperidin-2-ylmethanol",ClassyFire: 未命中; 
Atovaquone,Approved,—,Malarone (复方),2000,Naphthoquinone,萘醌类,结合细胞色素bc1的Qo位点，崩解线粒体膜电位,Other agents against amoebiasis and other protozoal diseases (P01AX),P01AX06,无 (ClassyFire 未收录或超时),,,,Cytochrome b,Plasmodium falciparum,Q02768,CHEMBL1777,Cytochrome b inhibitor,INHIBITOR,,,Small molecule,approved,,pneumocystosis (max phase 4); malaria (max phase 4); amebiasis (max phase 4); Plasmodium falciparum malaria (max phase 3); cerebral toxoplasmosis (max phase 2); COVID-19 (max phase 2),5.51,54.37,1,3,1,C22H19ClO3,366.8,366.1023,366.1023,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,BSJMWHQBCZFXBR-UHFFFAOYSA-N,"InChI=1S/C22H19ClO3/c23-16-11-9-14(10-12-16)13-5-7-15(8-6-13)19-20(24)17-3-1-2-4-18(17)21(25)22(19)26/h1-4,9-13,15,24H,5-8H2",,CHEMBL1450,74989,"3-[4-(4-chlorophenyl)cyclohexyl]-4-hydroxynaphthalene-1,2-dione",ClassyFire: 未命中; 
Proguanil,Approved,—,Malarone (复方),2000,Biguanide,抗叶酸类,前药→环氯胍抑制DHFR；并增效阿托伐醌去极化,Biguanides (P01BB),P01BB01; P01BB51,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,approved,,malaria (max phase 4); Plasmodium falciparum malaria (max phase 3); infection (max phase 2); gastroesophageal reflux disease (max phase 1),2.21,83.79,5,2,0,C11H16ClN5,253.73,253.1094,253.1094,CC(C)N=C(N)/N=C(\N)/NC1=CC=C(C=C1)Cl,CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl,SSOLNOMRVKKSON-UHFFFAOYSA-N,"InChI=1S/C11H16ClN5/c1-7(2)15-10(13)17-11(14)16-9-5-3-8(12)4-6-9/h3-7H,1-2H3,(H5,13,14,15,16,17)",DB01131,CHEMBL1377,6178111,(1E)-1-[amino-(4-chloroanilino)methylidene]-2-propan-2-ylguanidine,ClassyFire: 未命中; 
Quinine,Approved,—,Qualaquine,2005,Methanolquinoline (生物碱),喹啉类,抑制hemozoin形成；可嵌插DNA,Quinine and derivatives (M09AA),M09AA72; P01BC01,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,approved,,malaria (max phase 4); Plasmodium falciparum malaria (max phase 3); Chronic pain (max phase 2); Immunodeficiency (max phase 2); COVID-19 (max phase 2),3.17,45.59,1,4,0,C20H24N2O2,324.4,324.1838,324.1838,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,LOUPRKONTZGTKE-WZBLMQSHSA-N,"InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19-,20+/m0/s1",DB00468,CHEMBL170,3034034,"(R)-[(2S,4S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol",ClassyFire: 未命中; 
Artemether,Approved,—,Coartem (复方),2009,Artemisinin,青蒿素类,过氧桥经Fe²⁺激活生成自由基，烷基化虫体蛋白,"Artemisinin and derivatives, plain (P01BE)",P01BE02,无 (ClassyFire 未收录或超时),,,,Ferriprotoporphyrin IX,Plasmodium falciparum,,CHEMBL613897,Ferriprotoporphyrin IX inhibitor,INHIBITOR,,,Small molecule,approved,,malaria (max phase 4); Plasmodium falciparum malaria (max phase 3); Plasmodium vivax malaria (max phase 3); Fever (max phase 3); urinary schistosomiasis (max phase 2); neoplasm (max phase 1),2.84,46.15,0,5,0,C16H26O5,298.37,298.178,298.178,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC)C,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC)C,SXYIRMFQILZOAM-HVNFFKDJSA-N,"InChI=1S/C16H26O5/c1-9-5-6-12-10(2)13(17-4)18-14-16(12)11(9)7-8-15(3,19-14)20-21-16/h9-14H,5-8H2,1-4H3/t9-,10-,11+,12+,13+,14-,15-,16-/m1/s1",DB06697,CHEMBL566534,68911,"(1R,4S,5R,8S,9R,10S,12R,13R)-10-methoxy-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecane",ClassyFire: 未命中; 
Lumefantrine,Approved,—,Coartem (复方),2009,Aryl amino alcohol,芳基氨基醇类,抑制hemozoin形成（ACT伴侣药）,无 (未上市/无 ATC),无,无 (ClassyFire 未收录或超时),,,,Ferriprotoporphyrin IX,Plasmodium falciparum,,CHEMBL613897,Ferriprotoporphyrin IX inhibitor,INHIBITOR,,,Small molecule,approved,,malaria (max phase 4); Plasmodium falciparum malaria (max phase 3); Plasmodium vivax malaria (max phase 3); Fever (max phase 3); urinary schistosomiasis (max phase 2); HIV infection (max phase 1),9.15,23.47,1,2,2,C30H32Cl3NO,528.9,527.1549,527.1549,CCCCN(CCCC)CC(C1=CC(=CC\2=C1C3=C(/C2=C/C4=CC=C(C=C4)Cl)C=C(C=C3)Cl)Cl)O,CCCCN(CCCC)CC(C1=CC(=CC2=C1C3=C(C2=CC4=CC=C(C=C4)Cl)C=C(C=C3)Cl)Cl)O,DYLGFOYVTXJFJP-MYYYXRDXSA-N,"InChI=1S/C30H32Cl3NO/c1-3-5-13-34(14-6-4-2)19-29(35)28-18-23(33)17-27-25(15-20-7-9-21(31)10-8-20)26-16-22(32)11-12-24(26)30(27)28/h7-12,15-18,29,35H,3-6,13-14,19H2,1-2H3/b25-15-",DB06708,CHEMBL38827,6437380,"2-(dibutylamino)-1-[(9Z)-2,7-dichloro-9-[(4-chlorophenyl)methylidene]fluoren-4-yl]ethanol",ClassyFire: 未命中; 
Tafenoquine,Approved,IV,Krintafel,2018,8-Aminoquinoline,喹啉类,肝内CYP2D6激活的前药，靶点未明（亦列于Table 2 Phase IV）,Aminoquinolines (P01BA),P01BA07,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,approved,,malaria (max phase 4); Plasmodium vivax malaria (max phase 3); Plasmodium falciparum malaria (max phase 2); COVID-19 (max phase 2); babesiosis (max phase 2),5.91,78.63,2,6,1,C24H28F3N3O3,463.5,463.2083,463.2083,CC1=CC(=NC2=C1C(=C(C=C2NC(C)CCCN)OC)OC3=CC=CC(=C3)C(F)(F)F)OC,CC1=CC(=NC2=C1C(=C(C=C2NC(C)CCCN)OC)OC3=CC=CC(=C3)C(F)(F)F)OC,LBHLFPGPEGDCJG-UHFFFAOYSA-N,"InChI=1S/C24H28F3N3O3/c1-14-11-20(32-4)30-22-18(29-15(2)7-6-10-28)13-19(31-3)23(21(14)22)33-17-9-5-8-16(12-17)24(25,26)27/h5,8-9,11-13,15,29H,6-7,10,28H2,1-4H3",DB06608,CHEMBL298470,115358,"4-N-[2,6-dimethoxy-4-methyl-5-[3-(trifluoromethyl)phenoxy]quinolin-8-yl]pentane-1,4-diamine",ClassyFire: 未命中; 
