display_name,status,phase,trade_name,fda_year,review_class,cn_class,review_moa,atc_class_who,atc_code,cf_parent,cf_subclass,cf_class,cf_superclass,target_name,target_organism,target_uniprot,target_chembl_id,chembl_moa,action_type,resistance_mechanism,resistance_source,modality,status_proxy,drug_warning,indications,alogp,psa,hbd,hba,ro5_violations,chemical_formula,weight_average,monoisotopic_mass,exact_mass,smiles_isomeric,smiles_canonical,inchikey,inchi,drugbank_id,chembl_id,pubchem_cid,iupac_name,notes
Artesunate,Approved,—,Artesun (IV),2020,Artemisinin,青蒿素类,水溶性前药→双氢青蒿素，过氧桥自由基机制,"Artemisinin and derivatives, plain (P01BE)",P01BE03,无 (ClassyFire 未收录或超时),,,,,,,,Unknown,,,,Small molecule,approved,,malaria (max phase 4); Plasmodium falciparum malaria (max phase 3); Plasmodium vivax malaria (max phase 3); cytomegalovirus infection (max phase 3); urinary schistosomiasis (max phase 3); schistosomiasis (max phase 3),2.6,100.52,1,7,0,C19H28O8,384.4,384.1784,384.1784,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C,FIHJKUPKCHIPAT-AHIGJZGOSA-N,"InChI=1S/C19H28O8/c1-10-4-5-13-11(2)16(23-15(22)7-6-14(20)21)24-17-19(13)12(10)8-9-18(3,25-17)26-27-19/h10-13,16-17H,4-9H2,1-3H3,(H,20,21)/t10-,11-,12+,13+,16-,17-,18-,19-/m1/s1",DB09274,CHEMBL361497,6917864,"4-oxo-4-[[(1R,4S,5R,8S,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]oxy]butanoic acid",ClassyFire: 未命中; 
SJ733,Candidate,II,,,Dihydroisoquinolone,其他·新型,干扰恶性疟原虫PfATP4功能,无 (未上市/无 ATC),无,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,investigational (Phase II),,malaria (max phase 1),4.57,86.09,1,4,0,C24H16F4N4O2,468.4,468.1209,468.1209,C1=CC=C2C(=C1)[C@@H]([C@H](N(C2=O)CC(F)(F)F)C3=CN=CC=C3)C(=O)NC4=CC(=C(C=C4)F)C#N,C1=CC=C2C(=C1)C(C(N(C2=O)CC(F)(F)F)C3=CN=CC=C3)C(=O)NC4=CC(=C(C=C4)F)C#N,VKCPFWKTFZAOTO-LEWJYISDSA-N,"InChI=1S/C24H16F4N4O2/c25-19-8-7-16(10-15(19)11-29)31-22(33)20-17-5-1-2-6-18(17)23(34)32(13-24(26,27)28)21(20)14-4-3-9-30-12-14/h1-10,12,20-21H,13H2,(H,31,33)/t20-,21+/m0/s1",DB12659,CHEMBL4207489,89508529,"(3S,4S)-N-(3-cyano-4-fluorophenyl)-1-oxo-3-pyridin-3-yl-2-(2,2,2-trifluoroethyl)-3,4-dihydroisoquinoline-4-carboxamide",ClassyFire: 未命中; 
AQ13,Candidate,II,,,4-Aminoquinoline,喹啉类,机制尚未证实（与氯喹同类）,无 (未上市/无 ATC),无,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Unknown,investigational (Phase II),,malaria (max phase 2),,,,,,C16H24Cl3N3,364.7,363.1036,363.1036,CCN(CC)CCCNC1=C2C=CC(=CC2=NC=C1)Cl.Cl.Cl,CCN(CC)CCCNC1=C2C=CC(=CC2=NC=C1)Cl.Cl.Cl,ZNHBPWZRWNFJPN-UHFFFAOYSA-N,"InChI=1S/C16H22ClN3.2ClH/c1-3-20(4-2)11-5-9-18-15-8-10-19-16-12-13(17)6-7-14(15)16;;/h6-8,10,12H,3-5,9,11H2,1-2H3,(H,18,19);2*1H",DB17749,CHEMBL4297695,9820475,"N-(7-chloroquinolin-4-yl)-N',N'-diethylpropane-1,3-diamine;dihydrochloride",ClassyFire: 未命中; 
Cipargamin (KAE609),Candidate,II,,,Spiroindolone,其他·新型,抑制PfATP4并阻断蚊媒传播,无 (未上市/无 ATC),无,无 (ClassyFire 未收录或超时),,,,P-type ATPase,Plasmodium falciparum,Q27724,CHEMBL4630875,P-type ATPase inhibitor,INHIBITOR,,,Small molecule,investigational (Phase II),,malaria (max phase 2); Plasmodium falciparum malaria (max phase 2),4.34,56.92,3,2,0,C19H14Cl2FN3O,390.2,389.0498,389.0498,C[C@H]1CC2=C([C@]3(N1)C4=C(C=CC(=C4)Cl)NC3=O)NC5=CC(=C(C=C25)F)Cl,CC1CC2=C(C3(N1)C4=C(C=CC(=C4)Cl)NC3=O)NC5=CC(=C(C=C25)F)Cl,CKLPLPZSUQEDRT-WPCRTTGESA-N,"InChI=1S/C19H14Cl2FN3O/c1-8-4-11-10-6-14(22)13(21)7-16(10)23-17(11)19(25-8)12-5-9(20)2-3-15(12)24-18(19)26/h2-3,5-8,23,25H,4H2,1H3,(H,24,26)/t8-,19+/m0/s1",DB12306,CHEMBL1082723,44469321,"(3R,3'S)-5,7'-dichloro-6'-fluoro-3'-methylspiro[1H-indole-3,1'-2,3,4,9-tetrahydropyrido[3,4-b]indole]-2-one",ClassyFire: 未命中; 
Imatinib,Candidate,II,,,2-Phenylaminopyrimidine,其他·新型,抑制band 3蛋白的酪氨酸磷酸化,BCR-ABL tyrosine kinase inhibitors (L01EA),L01EA01,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,approved,,acute lymphoblastic leukemia (max phase 3); chronic myelogenous leukemia (max phase 3); leukemia (max phase 3); neoplasm (max phase 3); sarcoma (max phase 3); pulmonary arterial hypertension (max phase 3),4.59,86.28,2,7,0,C29H31N7O,493.6,493.259,493.259,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,KTUFNOKKBVMGRW-UHFFFAOYSA-N,"InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)",DB00619,CHEMBL941,5291,4-[(4-methylpiperazin-1-yl)methyl]-N-[4-methyl-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]phenyl]benzamide,ClassyFire: 未命中; 
M5717,Candidate,II,,,Quinoline diamine,喹啉类,抑制PfeEF2，阻断虫体蛋白质合成,无 (未上市/无 ATC),无,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,investigational (Phase II),,malaria (max phase 2),3.7,57.7,1,5,0,C27H31FN4O2,462.6,462.2431,462.2431,C1CCN(C1)CCNC(=O)C2=CC(=NC3=C2C=C(C=C3)F)C4=CC=C(C=C4)CN5CCOCC5,C1CCN(C1)CCNC(=O)C2=CC(=NC3=C2C=C(C=C3)F)C4=CC=C(C=C4)CN5CCOCC5,BENUHBSJOJMZEE-UHFFFAOYSA-N,"InChI=1S/C27H31FN4O2/c28-22-7-8-25-23(17-22)24(27(33)29-9-12-31-10-1-2-11-31)18-26(30-25)21-5-3-20(4-6-21)19-32-13-15-34-16-14-32/h3-8,17-18H,1-2,9-16,19H2,(H,29,33)",DB21477,CHEMBL4091762,71748268,6-fluoro-2-[4-(morpholin-4-ylmethyl)phenyl]-N-(2-pyrrolidin-1-ylethyl)quinoline-4-carboxamide,ClassyFire: 未命中; 
Methylene blue,Candidate,II,,,Phenothiazine,其他·新型,抑制谷胱甘肽依赖的血红素降解,Tests for gastric secretion (V04CG),V04CG05; V03AB17,无 (ClassyFire 未收录或超时),,,,Soluble guanylate cyclase,Homo sapiens,Q02153; O75343; P33402; Q02108,CHEMBL2111348,Soluble guanylate cyclase inhibitor,INHIBITOR,,,Small molecule,approved,,colorectal neoplasm (max phase 4); methemoglobinemia (max phase 4); Colonoscopy (max phase 4); Alzheimer disease (max phase 2),2.5,19.14,0,3,0,C16H18ClN3S,319.9,319.091,319.091,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],CXKWCBBOMKCUKX-UHFFFAOYSA-M,"InChI=1S/C16H18N3S.ClH/c1-18(2)11-5-7-13-15(9-11)20-16-10-12(19(3)4)6-8-14(16)17-13;/h5-10H,1-4H3;1H/q+1;/p-1",DB09241,CHEMBL405110,6099,[7-(dimethylamino)phenothiazin-3-ylidene]-dimethylazanium chloride,ClassyFire: 未命中; 
Sevuparin,Candidate,II,,,Acid polysaccharide,其他·新型,结合PfEMP1的DBL1α域，阻断玫瑰花结与细胞黏附,无 (未上市/无 ATC),无,无 (缺 InChIKey),,,,,,,,,,,,Oligosaccharide,investigational (Phase II),,sickle cell anemia (max phase 2),,,,,,,,,,,,,,,CHEMBL4297825,,,PubChem: 未按名称命中; 
Rosiglitazone,Candidate,II,,,Thiazolidinedione,其他·新型,促进巨噬细胞吞噬感染红细胞、降低促炎因子（辅助治疗）,Thiazolidinediones (A10BG),A10BG02,无 (ClassyFire 未收录或超时),,,,Peroxisome proliferator-activated receptor gamma,Homo sapiens,P37231,CHEMBL235,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,,,Small molecule,approved; withdrawn,Withdrawn / cardiotoxicity / Increased cardiovascular risk outweighs its benefit; Cardiovascular risk; Elevated risk of cardiovascular events | Withdrawn / cardiotoxicity / Elevated risk of cardiovascular events,diabetes mellitus (max phase 4); prostate adenocarcinoma (max phase 3); diabetic neuropathy (max phase 3); Disorder of lipid metabolism (max phase 3); metabolic syndrome (max phase 3); Cognitive impairment (max phase 2),2.49,71.53,1,6,0,C18H19N3O3S,357.4,357.1147,357.1147,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,YASAKCUCGLMORW-UHFFFAOYSA-N,"InChI=1S/C18H19N3O3S/c1-21(16-4-2-3-9-19-16)10-11-24-14-7-5-13(6-8-14)12-15-17(22)20-18(23)25-15/h2-9,15H,10-12H2,1H3,(H,20,22,23)",DB00412,CHEMBL121,77999,"5-[[4-[2-[methyl(pyridin-2-yl)amino]ethoxy]phenyl]methyl]-1,3-thiazolidine-2,4-dione",ClassyFire: 未命中; 
DSM265,Candidate,II,,,Triazolopyrimidine,其他·新型,选择性抑制疟原虫DHODH,无 (未上市/无 ATC),无,无 (ClassyFire 未收录或超时),,,,Dihydroorotate dehydrogenase,Plasmodium falciparum,Q54A96,CHEMBL3486,Dihydroorotate dehydrogenase inhibitor,INHIBITOR,,,Small molecule,investigational (Phase II),,Plasmodium falciparum malaria (max phase 2); Plasmodium vivax malaria (max phase 2); malaria (max phase 1),5.95,55.11,1,5,1,C14H12F7N5S,415.33,415.0702,415.0702,CC1=NC2=NC(=NN2C(=C1)NC3=CC=C(C=C3)S(F)(F)(F)(F)F)C(C)(F)F,CC1=NC2=NC(=NN2C(=C1)NC3=CC=C(C=C3)S(F)(F)(F)(F)F)C(C)(F)F,OIZSVTOIBNSVOS-UHFFFAOYSA-N,"InChI=1S/C14H12F7N5S/c1-8-7-11(26-13(22-8)24-12(25-26)14(2,15)16)23-9-3-5-10(6-4-9)27(17,18,19,20)21/h3-7,23H,1-2H3",DB12397,CHEMBL1956285,51347395,"2-(1,1-difluoroethyl)-5-methyl-N-[4-(pentafluoro-lambda6-sulfanyl)phenyl]-[1,2,4]triazolo[1,5-a]pyrimidin-7-amine",ClassyFire: 未命中; 
Ferroquine,Candidate,II,,,Ferrocene,其他·新型,抑制hemozoin形成并产生活性氧(ROS),,,无 (ClassyFire 未收录或超时),,,,,,,,,,,,,,,,,,,,,C23H24ClFeN3,433.8,433.1008,433.1008,CN(C)CC1=CC=C[C-]1CNC2=C3C=CC(=CC3=NC=C2)Cl.[CH-]1C=CC=C1.[Fe+2],CN(C)CC1=CC=C[C-]1CNC2=C3C=CC(=CC3=NC=C2)Cl.[CH-]1C=CC=C1.[Fe+2],DDENDDKMBDTHAX-UHFFFAOYSA-N,"InChI=1S/C18H19ClN3.C5H5.Fe/c1-22(2)12-14-5-3-4-13(14)11-21-17-8-9-20-18-10-15(19)6-7-16(17)18;1-2-4-5-3-1;/h3-10H,11-12H2,1-2H3,(H,20,21);1-5H;/q2*-1;+2",,,140118553,"7-chloro-N-[[2-[(dimethylamino)methyl]cyclopenta-2,4-dien-1-yl]methyl]quinolin-4-amine;cyclopenta-1,3-diene;iron(2+)",ClassyFire: 未命中; 
Artefenomel (OZ439),Candidate,III,,,"1,2,4-Trioxolane",合成过氧化物类,干扰虫体对血红蛋白的消化,无 (未上市/无 ATC),无,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,,,,4.88,49.39,0,6,0,C28H39NO5,469.6,469.2828,469.2828,C1CC2(CCC1C3=CC=C(C=C3)OCCN4CCOCC4)OC5(C6CC7CC(C6)CC5C7)OO2,C1CC2(CCC1C3=CC=C(C=C3)OCCN4CCOCC4)OC5(C6CC7CC(C6)CC5C7)OO2,XLCNVWUKICLURR-UHFFFAOYSA-N,"InChI=1S/C28H39NO5/c1-3-26(31-14-11-29-9-12-30-13-10-29)4-2-22(1)23-5-7-27(8-6-23)32-28(34-33-27)24-16-20-15-21(18-24)19-25(28)17-20/h1-4,20-21,23-25H,5-19H2",,CHEMBL2322983,24999143,,ClassyFire: 未命中; 
Artemisone,Candidate,III,,,Artemisinin,青蒿素类,抑制无性期及V期配子体,无 (未上市/无 ATC),无,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,phase -1.0,,,1.92,74.3,0,7,0,C19H31NO6S,401.5,401.1872,401.1872,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)N5CCS(=O)(=O)CC5)C,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)N5CCS(=O)(=O)CC5)C,FDMUNKXWYMSZIR-NQWKWHCYSA-N,"InChI=1S/C19H31NO6S/c1-12-4-5-15-13(2)16(20-8-10-27(21,22)11-9-20)23-17-19(15)14(12)6-7-18(3,24-17)25-26-19/h12-17H,4-11H2,1-3H3/t12-,13-,14+,15+,16-,17-,18-,19-/m1/s1",DB16097,CHEMBL516268,11531457,"4-[(1R,4S,5R,8S,9R,10R,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]-1,4-thiazinane 1,1-dioxide",ClassyFire: 未命中; 
Fosmidomycin,Candidate,III,,,Phosphonic acid,其他·新型,抑制DXR（1-脱氧-D-木酮糖5-磷酸还原异构酶）,无 (未上市/无 ATC),无,无 (ClassyFire 未收录或超时),,,,"1-deoxy-D-xylulose 5-phosphate reductoisomerase, apicoplastic",Plasmodium falciparum (isolate 3D7),Q8IKG4,CHEMBL4295619,"1-deoxy-D-xylulose 5-phosphate reductoisomerase, apicoplastic inhibitor",INHIBITOR,,,Small molecule,investigational (Phase III),,malaria (max phase 3); Plasmodium falciparum malaria (max phase 2),-0.6,98.07,3,3,0,C4H10NO5P,183.1,183.0297,183.0297,C(CN(C=O)O)CP(=O)(O)O,C(CN(C=O)O)CP(=O)(O)O,GJXWDTUCERCKIX-UHFFFAOYSA-N,"InChI=1S/C4H10NO5P/c6-4-5(7)2-1-3-11(8,9)10/h4,7H,1-3H2,(H2,8,9,10)",DB02948,CHEMBL203125,572,3-[formyl(hydroxy)amino]propylphosphonic acid,ClassyFire: 未命中; 
Arterolane,Candidate,III,,,"1,2,4-Trioxolane",合成过氧化物类,抑制血红素解毒及PfSERCA(PfATP6),无 (未上市/无 ATC),无,无 (ClassyFire 未收录或超时),,,,,,,,,,,,Small molecule,,,,3.25,82.81,2,5,0,C22H36N2O4,392.5,392.2675,392.2675,CC(C)(CNC(=O)CC1CCC2(CC1)OC3(C4CC5CC(C4)CC3C5)OO2)N,CC(C)(CNC(=O)CC1CCC2(CC1)OC3(C4CC5CC(C4)CC3C5)OO2)N,VXYZBLXGCYNIHP-UHFFFAOYSA-N,"InChI=1S/C22H36N2O4/c1-20(2,23)13-24-19(25)12-14-3-5-21(6-4-14)26-22(28-27-21)17-8-15-7-16(10-17)11-18(22)9-15/h14-18H,3-13,23H2,1-2H3,(H,24,25)",,CHEMBL578577,10475633,,ClassyFire: 未命中; 
